,price,rooms,area,floor,floors_total,adress,subway_station,distance to subway
391,3048640,1,27.0,10,21,"Полевая Сабировская улица, 45к1",Старая Деревня,2000
392,3025920,1,24.0,2,4,"Захаржевская улица, 14",Московская,25000
393,3041920,1,25.0,7,16,"улица Маршала Тухачевского, 23",Новочеркасская,10000
394,3030000,1,28.0,20,23,"улица Русановская, 19к2",Ладожская,15000
395,3080000,1,33.0,17,20,"улица Прокофьева, 7к2",Проспект Просвещения,1000
396,13844340,2,77.0,3,7,"20-я Васильевского острова линия, 19",Василеостровская,5000
397,10607630,1,53.0,5,7,"20-я Васильевского острова линия, 19",Василеостровская,5000
398,11700000,1,74.0,2,5,"Нижне-Каменская улица, 7к1",Комендантский проспект,5000
399,3090530,1,34.0,1,8,"Петергофское шоссе, 84к19",Проспект Ветеранов,15000
400,3070000,1,23.0,24,24,"Парашютная улица, 42к2",Комендантский проспект,3000
401,3053850,1,26.0,31,32,"Усть-Славянка тер., улица Заводская",Рыбацкое,15000
402,3061300,1,28.0,18,19,"Комендантский проспект, 55к1",Комендантский проспект,10000
403,3050000,1,24.0,14,20,"аллея Арцеуловская, 23к1",Комендантский проспект,10000
404,3050000,1,34.0,3,18,"Школьная улица, 6к2",Купчино,9000
405,3050000,1,37.0,2,25,"улица Тихоокеанская, 1к1",Озерки,15000
406,3107020,1,23.0,17,17,"улица Среднерогатская, 20",Звёздная,1000
407,13500000,3,94.0,5,17,"Варшавская улица, 19к2",Парк Победы,1000
408,13629000,2,83.0,3,8,"улица Мира, 36",Горьковская,1000
409,13554000,1,100.0,2,14,"улица Жукова, 3",Площадь Ленина,10000
410,13650000,2,90.0,3,9,"Исполкомская улица, 17",Площадь Александра Невского,500
411,13600000,2,66.0,2,15,"Дивенская улица, 5",Горьковская,600
412,13739000,2,91.0,12,14,"улица Жукова, 1",Площадь Ленина,10000
413,13849770,3,92.0,2,9,"Тележная улица, 17-19",Площадь Александра Невского,1000
414,13844340,2,77.0,3,7,"20-я Васильевского острова линия, 19",Василеостровская,5000
415,13921110,3,81.0,3,23,"Комендантский проспект, 58к1",Комендантский проспект,10000
416,13800000,1,96.0,5,15,"Парашютная улица, 23к2",Комендантский проспект,15000
417,13900000,2,92.0,2,3,"Захарьевская улица, 7",Чернышевская,1000
418,14018240,2,76.0,8,9,"Исполкомская улица, 17",Площадь Александра Невского,1000
419,14026690,3,99.0,2,8,"Липовая аллея, 15Б",Старая Деревня,500
420,13957000,2,91.0,13,14,"улица Жукова, 1",Площадь Ленина,10000
421,14000000,3,158.0,9,25,"проспект Энгельса, 93",Удельная,1000
422,14200000,3,121.0,2,7,"проспект Энгельса, 50",Удельная,500
423,14150000,4,150.0,16,18,"Рыбацкий проспект, 7",Рыбацкое,10000
424,14299000,1,103.0,4,21,"проспект Королева, 21а",Комендантский проспект,10000
425,14290000,1,110.0,2,4,"Подольская улица, 1-3-5",Технологический институт,500
426,14422000,1,60.0,5,11,"улица Грота, 1-3В",Петроградская,1500
427,2492000,1,18.0,1,6,"улица Марата, 36-38",Площадь Восстания,500
428,8800000,2,75.0,2,10,"Пулковская улица, 2к3",Звёздная,1000
429,3187840,1,27.0,9,12,"Кубинская улица, 82к1",Московская,7000
430,3159410,1,28.0,3,12,"Кубинская улица, 82к1",Московская,7000
431,3181200,1,29.0,18,19,"Комендантский проспект, 55к1",Комендантский проспект,10000
