,price,rooms,area,floor,floors_total,adress,subway_station,distance to subway
338,1200000,1,39.0,2,2,"Ленинградская улица, 5",,
339,2200000,3,55.0,2,5,"пос. Соцгород, переулок Ново-Молодежный",,
340,3400000,3,73.0,1,9,"Ново-Садовая улица, 206",,
341,1550000,2,42.0,1,3,"Центральная улица, 2",,
342,2600000,2,44.0,5,5,"улица Гагарина, 135",Советская,500
343,3500000,1,50.0,14,16,"улица Тухачевского, 80",Московская,1600
344,7430400,2,103.0,3,11,"Самарская улица, 267",Алабинская,5000
345,1050000,1,25.0,1,2,"улица Земеца, 9",,
346,1150000,2,42.0,3,4,"Арбатская улица, 3",,
347,1200000,1,39.0,2,2,"Ленинградская улица, 5",,
348,2200000,3,55.0,2,5,"пос. Соцгород, переулок Ново-Молодежный",,
349,3400000,3,73.0,1,9,"Ново-Садовая улица, 206",,
350,790000,2,42.0,2,2,"улица Силаева, 11",,
351,1400000,1,30.0,3,3,"Крутые Ключи мкр, улица Евгения Золотухина",,
352,1960000,1,35.0,2,24,"м. Безымянка, Московское шоссе",Безымянка,25000
353,2220000,1,44.0,3,24,"м. Безымянка, Московское шоссе",Безымянка,25000
354,2750000,2,47.0,6,9,"проспект Кирова, 98",,
355,3200000,2,45.0,5,5,"м. Кировская, улица Свободы",Кировская,2400
356,3360000,1,40.0,11,16,"улица Братьев Коростелевых, 66",,
357,3500000,2,50.0,9,9,"улица Максима Горького, 35",,
358,3560000,2,65.0,2,24,"м. Безымянка, Московское шоссе",Безымянка,25000
359,34000000,4,350.0,5,6,"Ленинградская улица, 8",,
360,1550000,2,42.0,1,3,"Центральная улица, 2",,
361,2600000,2,44.0,5,5,"улица Гагарина, 135",Советская,500
362,3500000,1,50.0,14,16,"улица Тухачевского, 80",Московская,1600
363,7430400,2,103.0,3,11,"Самарская улица, 267",Алабинская,5000
364,1050000,1,25.0,1,2,"улица Земеца, 9",,
365,1150000,2,42.0,3,4,"Арбатская улица, 3",,
366,1200000,1,39.0,2,2,"Ленинградская улица, 5",,
367,2200000,3,55.0,2,5,"пос. Соцгород, переулок Ново-Молодежный",,
368,3400000,3,73.0,1,9,"Ново-Садовая улица, 206",,
369,1880000,2,56.0,2,4,"проспект Кирова, 61",,
370,1850000,1,32.0,3,5,"улица Победы, 129",,
371,1850000,3,62.0,5,5,"улица Фестивальная, 3",,
372,1850000,2,46.0,1,3,"Крутые Ключи мкр, улица Евгения Золотухина",,
373,1850000,3,64.0,1,3,"пос. Кирзавод-6, переулок Сиреневый",,
374,1890000,1,30.0,5,5,"Черемшанская улица, 238",,
375,1850000,1,31.0,3,5,"проспект Карла Маркса, 322",,
376,1890000,1,33.0,1,5,"улица Елизарова, 36",,
377,1869000,2,48.0,3,5,"улица Батайская, 12",,
378,1853000,1,38.0,8,16,"улица Строителей, 33",,
379,1879250,1,44.0,13,24,"проспект Кирова, 399Б",,
380,1850000,1,33.0,9,9,"улица Стара Загора, 209",,
381,1870000,1,31.0,3,9,"Воронежская улица, 139",,
382,1850000,1,32.0,5,5,"проспект Кирова, 222",,
383,10200000,3,113.0,5,5,"Некрасовская улица, 94",,
384,1550000,2,42.0,1,3,"Центральная улица, 2",,
385,2600000,2,44.0,5,5,"улица Гагарина, 135",Советская,500
386,3500000,1,50.0,14,16,"улица Тухачевского, 80",Московская,1600
387,7430400,2,103.0,3,11,"Самарская улица, 267",Алабинская,5000
388,1050000,1,25.0,1,2,"улица Земеца, 9",,
389,1150000,2,42.0,3,4,"Арбатская улица, 3",,
390,1200000,1,39.0,2,2,"Ленинградская улица, 5",,
391,2200000,3,55.0,2,5,"пос. Соцгород, переулок Ново-Молодежный",,
392,3400000,3,73.0,1,9,"Ново-Садовая улица, 206",,
393,1550000,2,42.0,1,3,"Центральная улица, 2",,
394,2600000,2,44.0,5,5,"улица Гагарина, 135",Советская,500
395,3500000,1,50.0,14,16,"улица Тухачевского, 80",Московская,1600
396,7430400,2,103.0,3,11,"Самарская улица, 267",Алабинская,5000
397,1050000,1,25.0,1,2,"улица Земеца, 9",,
398,1150000,2,42.0,3,4,"Арбатская улица, 3",,
399,1200000,1,39.0,2,2,"Ленинградская улица, 5",,
400,2200000,3,55.0,2,5,"пос. Соцгород, переулок Ново-Молодежный",,
401,3400000,3,73.0,1,9,"Ново-Садовая улица, 206",,
402,1550000,2,42.0,1,3,"Центральная улица, 2",,
403,2600000,2,44.0,5,5,"улица Гагарина, 135",Советская,500
404,3500000,1,50.0,14,16,"улица Тухачевского, 80",Московская,1600
405,7430400,2,103.0,3,11,"Самарская улица, 267",Алабинская,5000
406,1050000,1,25.0,1,2,"улица Земеца, 9",,
407,1150000,2,42.0,3,4,"Арбатская улица, 3",,
408,1200000,1,39.0,2,2,"Ленинградская улица, 5",,
409,2200000,3,55.0,2,5,"пос. Соцгород, переулок Ново-Молодежный",,
410,3400000,3,73.0,1,9,"Ново-Садовая улица, 206",,
411,3560000,2,65.0,2,24,"м. Безымянка, Московское шоссе",Безымянка,25000
412,1550000,2,42.0,1,3,"Центральная улица, 2",,
413,2600000,2,44.0,5,5,"улица Гагарина, 135",Советская,500
414,3500000,1,50.0,14,16,"улица Тухачевского, 80",Московская,1600
